2023-03-30 22:24:57.897 | INFO  | mainraceId | 2564 | main | org.springframework.boot.StartupInfoLogger.logStarting(StartupInfoLogger.java:55) : Starting WebApplication using Java 17.0.2 on MS-RIWSCBNXBKLH with PID 2564 (D:\Projects\ideaProjects\examples\spring-boot\spring-boot-web\build\classes\java\main started by Administrator in D:\Projects\ideaProjects\examples)
2023-03-30 22:24:57.906 | INFO  | mainraceId | 2564 | main | org.springframework.boot.SpringApplication.logStartupProfileInfo(SpringApplication.java:634) : No active profile set, falling back to 1 default profile: "default"
2023-03-30 22:24:58.294 | INFO  | mainraceId | 2564 | main | org.springframework.boot.web.embedded.tomcat.TomcatWebServer.initialize(TomcatWebServer.java:108) : Tomcat initialized with port(s): 8080 (http)
2023-03-30 22:24:58.309 | INFO  | mainraceId | 2564 | main | org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173) : Initializing ProtocolHandler ["http-nio-8080"]
2023-03-30 22:24:58.309 | INFO  | mainraceId | 2564 | main | org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173) : Starting service [Tomcat]
2023-03-30 22:24:58.310 | INFO  | mainraceId | 2564 | main | org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173) : Starting Servlet engine: [Apache Tomcat/9.0.68]
2023-03-30 22:24:58.343 | INFO  | mainraceId | 2564 | main | org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173) : Initializing Spring embedded WebApplicationContext
2023-03-30 22:24:58.343 | INFO  | mainraceId | 2564 | main | org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.prepareWebApplicationContext(ServletWebServerApplicationContext.java:292) : Root WebApplicationContext: initialization completed in 421 ms
2023-03-30 22:24:58.565 | INFO  | mainraceId | 2564 | main | org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver.<init>(EndpointLinksResolver.java:58) : Exposing 13 endpoint(s) beneath base path '/actuator'
2023-03-30 22:24:58.576 | INFO  | mainraceId | 2564 | main | org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173) : Starting ProtocolHandler ["http-nio-8080"]
2023-03-30 22:24:58.584 | INFO  | mainraceId | 2564 | main | org.springframework.boot.web.embedded.tomcat.TomcatWebServer.start(TomcatWebServer.java:220) : Tomcat started on port(s): 8080 (http) with context path ''
2023-03-30 22:24:58.590 | INFO  | mainraceId | 2564 | main | org.springframework.boot.StartupInfoLogger.logStarted(StartupInfoLogger.java:61) : Started WebApplication in 0.85 seconds (JVM running for 1.222)
2023-03-30 22:24:58.943 | INFO  | RMI TCP Connection(1)-192.168.1.4raceId | 2564 | RMI TCP Connection(1)-192.168.1.4 | org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173) : Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-03-30 22:24:58.943 | INFO  | RMI TCP Connection(1)-192.168.1.4raceId | 2564 | RMI TCP Connection(1)-192.168.1.4 | org.springframework.web.servlet.FrameworkServlet.initServletBean(FrameworkServlet.java:525) : Initializing Servlet 'dispatcherServlet'
2023-03-30 22:24:58.944 | INFO  | RMI TCP Connection(1)-192.168.1.4raceId | 2564 | RMI TCP Connection(1)-192.168.1.4 | org.springframework.web.servlet.FrameworkServlet.initServletBean(FrameworkServlet.java:547) : Completed initialization in 0 ms
2023-03-30 22:25:38.059 | INFO  | mainraceId | 12980 | main | org.springframework.boot.StartupInfoLogger.logStarting(StartupInfoLogger.java:55) : Starting WebApplication using Java 17.0.2 on MS-RIWSCBNXBKLH with PID 12980 (D:\Projects\ideaProjects\examples\spring-boot\spring-boot-web\build\classes\java\main started by Administrator in D:\Projects\ideaProjects\examples)
2023-03-30 22:25:38.062 | INFO  | mainraceId | 12980 | main | org.springframework.boot.SpringApplication.logStartupProfileInfo(SpringApplication.java:634) : No active profile set, falling back to 1 default profile: "default"
2023-03-30 22:25:38.423 | INFO  | mainraceId | 12980 | main | org.springframework.boot.web.embedded.tomcat.TomcatWebServer.initialize(TomcatWebServer.java:108) : Tomcat initialized with port(s): 8080 (http)
2023-03-30 22:25:38.429 | INFO  | mainraceId | 12980 | main | org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173) : Initializing ProtocolHandler ["http-nio-8080"]
2023-03-30 22:25:38.430 | INFO  | mainraceId | 12980 | main | org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173) : Starting service [Tomcat]
2023-03-30 22:25:38.430 | INFO  | mainraceId | 12980 | main | org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173) : Starting Servlet engine: [Apache Tomcat/9.0.68]
2023-03-30 22:25:38.461 | INFO  | mainraceId | 12980 | main | org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173) : Initializing Spring embedded WebApplicationContext
2023-03-30 22:25:38.461 | INFO  | mainraceId | 12980 | main | org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.prepareWebApplicationContext(ServletWebServerApplicationContext.java:292) : Root WebApplicationContext: initialization completed in 384 ms
2023-03-30 22:25:38.660 | INFO  | mainraceId | 12980 | main | org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver.<init>(EndpointLinksResolver.java:58) : Exposing 13 endpoint(s) beneath base path '/actuator'
2023-03-30 22:25:38.671 | INFO  | mainraceId | 12980 | main | org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173) : Starting ProtocolHandler ["http-nio-8080"]
2023-03-30 22:25:38.678 | INFO  | mainraceId | 12980 | main | org.springframework.boot.web.embedded.tomcat.TomcatWebServer.start(TomcatWebServer.java:220) : Tomcat started on port(s): 8080 (http) with context path ''
2023-03-30 22:25:38.683 | INFO  | mainraceId | 12980 | main | org.springframework.boot.StartupInfoLogger.logStarted(StartupInfoLogger.java:61) : Started WebApplication in 0.761 seconds (JVM running for 1.059)
2023-03-30 22:25:39.145 | INFO  | RMI TCP Connection(2)-192.168.1.4raceId | 12980 | RMI TCP Connection(2)-192.168.1.4 | org.apache.juli.logging.DirectJDKLog.log(DirectJDKLog.java:173) : Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-03-30 22:25:39.145 | INFO  | RMI TCP Connection(2)-192.168.1.4raceId | 12980 | RMI TCP Connection(2)-192.168.1.4 | org.springframework.web.servlet.FrameworkServlet.initServletBean(FrameworkServlet.java:525) : Initializing Servlet 'dispatcherServlet'
2023-03-30 22:25:39.146 | INFO  | RMI TCP Connection(2)-192.168.1.4raceId | 12980 | RMI TCP Connection(2)-192.168.1.4 | org.springframework.web.servlet.FrameworkServlet.initServletBean(FrameworkServlet.java:547) : Completed initialization in 1 ms
